diastole_category,mean_systole,sd_systole,mean_diastole,sd_diastole,mean_n_systole,sd_n_systole,mean_n_diastole,sd_n_diastole
Low,8.417652290773507,3.9343550634930065,9.037906907048155,4.4220707854310515,903.5,296.3759436931412,899.3333333333334,349.80089574880543
Medium,14.247495878214119,3.3311138682907906,14.92456840340494,0.9845148885071305,789.8,192.16971665691761,797.4,231.01580032543228
High,16.966152149455464,3.018967568875846,18.4986224195711,1.884617268293537,1032.3333333333333,242.58414347740592,1053.3333333333333,233.28837662143965
