systole_category,mean_systole,sd_systole,mean_diastole,sd_diastole,mean_n_systole,sd_n_systole,mean_n_diastole,sd_n_diastole
Low,8.063409087659117,3.6186488841638402,9.28719139572632,4.758093125307905,852.8333333333334,323.8563982178933,838.3333333333334,377.1560243011726
Medium,13.190517021969487,0.8905139844895813,15.560986688678684,2.4674174601566206,892,248.8051446413438,875.2,215.88584946679575
High,18.201211066107046,1.9047793577774996,17.718989359831482,2.3178256147685694,997.8333333333334,201.9330747219649,1049.5,216.07568118601407
